0,1,2,3,y_classification,community_ids,bias,y_regression
-1.17752494599945,-1.8166037690156536,-0.3682021586793219,-1.2936438754051045,0,0,0.3527372998376537,-3.984335827519542
-1.0954796404475555,-1.3386301820369897,-0.8723086071208742,-0.6465149752217565,0,0,0.3527372998376537,-2.333181248866878
-0.4677395043750819,-0.6033814512183513,0.0018055061303944,-0.690738284200167,0,0,0.3527372998376537,-0.139362292470046
-0.3962143847250085,-0.5602977843015411,-1.831664076302822,-0.1071784284005232,0,0,0.3527372998376537,-0.8218887484031734
-1.0963368245122511,-1.6943756653797988,-0.2782688924093343,-1.4572149494523383,0,0,0.3527372998376537,-3.6346154501282206
-1.6265333258501564,-1.0593325390599395,-0.5965484988199788,-0.0050017132961714,0,0,0.3527372998376537,-1.2637225013392517
-0.358974517838205,-0.945557759696922,-0.6730316388969316,-0.2403179115198661,0,0,0.3527372998376537,-0.3244198922887132
-1.101285297489072,-0.4571337033134917,-0.659764918516501,-1.1494309730120442,0,0,0.3527372998376537,-1.3701845187598134
-1.9335104817480335,-0.8807982866190474,-1.2727779209311767,-1.567326255449036,0,0,0.3527372998376537,-7.450912562251775
-0.90597702446235,-1.562536013191041,-1.1173433149694048,-1.3845419105690582,0,0,0.3527372998376537,-4.9230713907598105
-1.8910483600508008,-0.8297216208481459,-0.1100676941256922,-1.5018171042019812,0,0,0.3527372998376537,-3.152043530142283
-0.6094660225612055,-0.5384369325826655,-1.824876887288294,-0.7253359483869948,0,0,0.3527372998376537,-1.871999744889272
-0.6198507778437826,-0.1733587157399778,-0.0255807822825487,-0.2389816694998807,0,0,0.3527372998376537,-0.0175227143310082
-0.1324589045912049,-0.9493739821979804,-1.5105800351340466,-1.7122216272714923,0,0,0.3527372998376537,-3.085936158041928
-0.1811621723118944,-1.170525998283482,-1.0996716762342102,-1.517490287102334,0,0,0.3527372998376537,-2.3642637552908887
-1.707028574563525,-0.942345034458716,-1.2293381757191746,-0.967462497709445,0,0,0.3527372998376537,-4.536343894961232
